DATE , LATITUDE , LONGITUDE , MAGNITUDE , DEPTH, TIME
2019/07/11, 54.0020, -3.1920, 2.4, 3.3, 10:53:57
2019/08/08, 50.0100, -5.2694, 2.7, 5.0, 16:52:04
2019/08/24, 51.7230, 2.9000, 2.0, 0.0, 22:01:35
2019/08/26, 53.7870, -2.9640, 2.9, 2.5, 07:30:47
2019/09/11, 55.7270, -3.1560, 2.0, 7.7, 15:12:37
2019/10/02, 52.7258, -0.8782, 2.8, 5.0, 19:22:06
2019/10/05, 53.1800, 0.9430, 2.0, 5.1, 15:35:47
2019/10/14, 52.5546, -2.8659, 3.3, 14.0, 16:51:48
2019/11/08, 53.7520, -1.8460, 2.3, 5.5, 16:12:06
2019/11/17, 56.4090, -5.6890, 2.1, 3.5, 22:31:53
2019/12/05, 51.0116, -3.0791, 3.4, 10.0, 22:49:15
2019/12/15, 53.6360, -4.9310, 2.1, 7.5, 21:19:52
2019/12/28, 57.0880, -5.7320, 2.0, 7.8, 10:39:42
2020/01/07, 57.1420, -5.4820, 2.3, 6.4, 10:36:46
2020/01/23, 54.5765, -1.3354, 2.8, 10.0, 05:56:59
2020/01/31, 52.2690, -0.8310, 2.2, 7.4, 11:53:33
2020/03/24, 52.0130, -1.1260, 2.3, 4.66, 17:19:20
2020/04/04, 52.0130,  -1.1260, 2.2, 4.6, 15:28:17
2020/04/05, 50.0360, 0.9420, 2.4, 0.0, 11:45:44
2020/06/04, 52.5620, -1.9030, 2.1, 7.9, 12:48:16
2020/06/06, 56.3900, -4.0080, 2.2, 2.8, 14:22:39
