#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=RASPISHAKE,http://raspberryshake.net/
AM|R0000|52.67567568|-0.7132439842|107.0|Raspberry Shake Citizen Science Station|2019-10-19T09:58:12|2019-10-22T17:00:05
AM|R0000|52.67567568|-0.7132439842|107.0|Raspberry Shake Citizen Science Station|2019-10-22T19:11:59|2019-10-24T15:18:28
AM|R013B|52.64864865|-0.6237058952|99.0|Raspberry Shake Citizen Science Station|2019-10-16T12:09:16|2019-11-13T17:00:07
AM|R013B|52.67567568|-0.7281415735|117.0|Raspberry Shake Citizen Science Station|2020-04-11T08:40:23|2020-05-13T17:00:23
AM|R013B|56.45945946|-3.000324304|67.0|Raspberry Shake Citizen Science Station|2020-05-13T17:04:36|2020-07-08T17:00:27
AM|R0174|52.66666667|-0.7280265703|111.0|Raspberry Shake Citizen Science Station|2019-06-30T14:58:18|2019-07-02T17:00:02
AM|R0174|52.66666667|-0.7280265703|111.0|Raspberry Shake Citizen Science Station|2019-07-04T14:53:28|2019-07-09T13:32:54
AM|R0174|52.98198198|-2.170002896|132.0|Raspberry Shake Citizen Science Station|2019-07-09T13:32:54|2019-07-14T17:00:03
AM|R0174|52.98198198|-2.170002896|132.0|Raspberry Shake Citizen Science Station|2019-07-24T09:26:16|2019-08-06T16:48:50
AM|R0174|53.8018018|-1.586714253|39.0|Raspberry Shake Citizen Science Station|2019-08-06T16:48:50|2019-08-07T09:48:08
AM|R0174|53.77477477|-1.570307639|46.0|Raspberry Shake Citizen Science Station|2019-08-07T09:48:08|2019-08-11T09:52:02
AM|R0174|52.64864865|-0.6237058952|83.0|Raspberry Shake Citizen Science Station|2019-08-11T09:52:02|2019-08-13T17:00:03
AM|R0174|52.61261261|1.231719532|22.0|Raspberry Shake Citizen Science Station|2019-10-01T12:09:14|2019-10-03T17:00:05
AM|R0353|50.26126126|-5.017542802|79.0|Raspberry Shake Citizen Science Station|2019-07-25T13:42:06|2019-07-28T17:00:03
AM|R0353|50.26126126|-5.017542802|79.0|Raspberry Shake Citizen Science Station|2019-08-09T16:21:50|2020-03-14T17:00:17
AM|R0353|50.26126126|-5.017542802|79.0|Raspberry Shake Citizen Science Station|2020-03-16T11:02:00|2599-12-31T23:59:59
AM|R0589|51.38738739|1.414833979|24.0|Raspberry Shake Citizen Science Station|2019-04-23T23:03:55|2019-07-09T17:00:04
AM|R0589|51.38738739|1.414833979|24.0|Raspberry Shake Citizen Science Station|2019-07-11T18:05:56|2020-06-26T17:00:24
AM|R0589|51.38738739|1.414833979|24.0|Raspberry Shake Citizen Science Station|2020-06-27T13:48:37|2599-12-31T23:59:59
AM|R0596|51.40540541|-2.498822212|45.0|Raspberry Shake Citizen Science Station|2020-06-26T12:04:47|2020-06-28T17:00:24
AM|R0664|52.67567568|-0.7132129626|110.0|Raspberry Shake Citizen Science Station|2019-06-28T13:03:07|2019-07-01T17:00:03
AM|R0664|52.67567568|-0.7132129626|110.0|Raspberry Shake Citizen Science Station|2019-07-15T19:42:36|2019-07-19T08:13:04
AM|R0664|53.40540541|-1.496299396|72.0|Raspberry Shake Citizen Science Station|2019-07-19T08:13:04|2019-08-20T17:00:04
AM|R0664|53.40540541|-1.496299396|72.0|Raspberry Shake Citizen Science Station|2019-09-21T08:49:12|2019-09-24T17:00:05
AM|R0664|53.40540541|-1.496299396|72.0|Raspberry Shake Citizen Science Station|2019-10-04T17:07:16|2020-02-17T17:34:38
AM|R0887|51.6036036|-0.3336610952|89.0|Raspberry Shake Citizen Science Station|2017-11-26T19:54:38|2019-09-22T17:00:05
AM|R0887|51.6036036|-0.3336610952|89.0|Raspberry Shake Citizen Science Station|2019-10-01T20:12:56|2599-12-31T23:59:59
AM|R08CF|58.20720721|-6.362090603|15.0|Raspberry Shake Citizen Science Station|2019-12-04T15:24:21|2020-03-21T17:45:49
AM|R08CF|58.20720721|-6.362090603|25.0|Raspberry Shake Citizen Science Station|2020-03-21T17:45:49|2599-12-31T23:59:59
AM|R091F|51.44144144|-0.3324693947|13.0|Raspberry Shake Citizen Science Station|2019-06-14T22:34:37|2020-06-11T17:00:26
AM|R09BD|52.18018018|0.1175416191|23.0|Raspberry Shake Citizen Science Station|2019-07-07T17:36:20|2019-07-13T17:00:03
AM|R09BD|52.18018018|0.1175416191|23.0|Raspberry Shake Citizen Science Station|2019-07-15T07:37:32|2019-07-18T17:00:03
AM|R09BD|52.18018018|0.1175416191|23.0|Raspberry Shake Citizen Science Station|2019-07-20T22:07:05|2019-07-23T17:00:03
AM|R09BD|52.18018018|0.1175416191|23.0|Raspberry Shake Citizen Science Station|2019-08-10T09:59:54|2019-08-13T17:00:05
AM|R09BD|52.18018018|0.1175416191|23.0|Raspberry Shake Citizen Science Station|2019-08-14T17:18:36|2019-08-16T17:00:04
AM|R09BD|52.18018018|0.1175416191|23.0|Raspberry Shake Citizen Science Station|2019-08-25T19:23:42|2019-09-10T17:00:04
AM|R09BD|52.18018018|0.1175416191|23.0|Raspberry Shake Citizen Science Station|2019-09-29T13:35:01|2019-10-02T17:06:34
AM|R09BD|52.18018018|0.1175416191|23.0|Raspberry Shake Citizen Science Station|2019-10-11T09:07:23|2019-11-02T17:00:07
AM|R09BD|52.18018018|0.1175416191|23.0|Raspberry Shake Citizen Science Station|2020-03-25T15:37:37|2020-04-05T17:00:18
AM|R09BD|52.18018018|0.1175416191|23.0|Raspberry Shake Citizen Science Station|2020-04-06T16:37:24|2020-04-21T17:00:19
AM|R09BD|52.18018018|0.1175416191|23.0|Raspberry Shake Citizen Science Station|2020-04-24T08:31:42|2020-04-27T17:00:20
AM|R09BD|52.18018018|0.1175416191|23.0|Raspberry Shake Citizen Science Station|2020-06-15T20:25:28|2020-06-27T17:00:23
AM|R0AEF|51.64864865|-0.2177922201|135.0|Raspberry Shake Citizen Science Station|2019-04-30T14:52:33|2019-07-06T17:00:03
AM|R0AEF|51.64864865|-0.2177922201|135.0|Raspberry Shake Citizen Science Station|2019-08-05T18:31:37|2599-12-31T23:59:59
AM|R0FF0|54.35135135|-8.549213719|26.0|Raspberry Shake Citizen Science Station|2020-06-22T18:34:27|2599-12-31T23:59:59
AM|R118B|51.44144144|-2.572854976|40.0|Raspberry Shake Citizen Science Station|2020-04-28T19:55:57|2599-12-31T23:59:59
AM|R17DF|52.1981982|0.4262810581|105.0|Raspberry Shake Citizen Science Station|2019-07-15T18:37:12|2019-07-28T17:00:04
AM|R17DF|52.1981982|0.4262733846|106.0|Raspberry Shake Citizen Science Station|2020-04-27T21:17:42|2020-05-10T17:00:26
